id,faculty_id,name,acronym,course_type,year,url,plan_url,last_updated
689,feup,Programa Doutoral em Sistemas de Transportes,PDST,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=689,cur_geral.cur_planos_estudos_view?pv_plano_id=689&pv_ano_lectivo=2025,2026-05-22 08:45:01.673152
700,feup,Programa Doutoral em Engenharia de Minas e Geo-Recursos,PDEMGR,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=700,cur_geral.cur_planos_estudos_view?pv_plano_id=700&pv_ano_lectivo=2025,2026-05-22 08:45:19.513328
701,feup,Programa Doutoral em Engenharia Física,PRODEF,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=701,cur_geral.cur_planos_estudos_view?pv_plano_id=701&pv_ano_lectivo=2025,2026-05-22 08:45:43.114531
702,feup,Programa Doutoral em Engenharia Metalúrgica e de Materiais,PDEMM,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=702,cur_geral.cur_planos_estudos_view?pv_plano_id=702&pv_ano_lectivo=2025,2026-05-22 08:45:24.113193
703,feup,Programa Doutoral em Engenharia do Ambiente,PDEA,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=703,cur_geral.cur_planos_estudos_view?pv_plano_id=703&pv_ano_lectivo=2025,2026-05-22 08:45:37.415578
717,feup,Mestrado em Engenharia de Segurança e Higiene Ocupacionais,MESHO,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=717,cur_geral.cur_planos_estudos_view?pv_plano_id=717&pv_ano_lectivo=2025,2026-05-22 08:42:25.251833
719,feup,Mestrado em Inovação e Empreendedorismo Tecnológico,MIET,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=719,cur_geral.cur_planos_estudos_view?pv_plano_id=719&pv_ano_lectivo=2025,2026-05-22 08:42:51.347554
727,feup,Mestrado em Engenharia de Serviços e Gestão,MESG,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=727,cur_geral.cur_planos_estudos_view?pv_plano_id=727&pv_ano_lectivo=2025,2026-05-22 08:42:22.827832
732,feup,Mestrado em Multimédia,MM,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=732,cur_geral.cur_planos_estudos_view?pv_plano_id=732&pv_ano_lectivo=2025,2026-05-22 08:42:26.754958
737,feup,Mestrado em Ciência da Informação,MCI,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=737,cur_geral.cur_planos_estudos_view?pv_plano_id=737&pv_ano_lectivo=2025,2026-05-22 08:42:51.978538
738,feup,Licenciatura em Engenharia de Minas e Geo-Ambiente,L.EMG,B,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=738,cur_geral.cur_planos_estudos_view?pv_plano_id=738&pv_ano_lectivo=2025,2026-05-22 08:41:28.261959
739,feup,Mestrado em Engenharia de Minas e Geo-Ambiente,M.EMG,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=739,cur_geral.cur_planos_estudos_view?pv_plano_id=739&pv_ano_lectivo=2025,2026-05-22 08:42:28.637581
752,feup,Programa Doutoral em Telecomunicações,MAP-T,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=752,cur_geral.cur_planos_estudos_view?pv_plano_id=752&pv_ano_lectivo=2025,2026-05-22 08:45:05.898714
753,feup,"Programa Doutoral em Engenharia da Refinação, Petroquímica e Química",PDERPQ,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=753,cur_geral.cur_planos_estudos_view?pv_plano_id=753&pv_ano_lectivo=2025,2026-05-22 08:45:15.978850
763,feup,Mestrado em Mecânica Computacional,MMC,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=763,cur_geral.cur_planos_estudos_view?pv_plano_id=763&pv_ano_lectivo=2025,2026-05-22 08:43:50.768721
